epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9344,3.87502,4.72451,1.63706,0.00318,0.01857,0.0017,0.0007,3.6183,4.04423,1.2906,0.00054,0.00054,0.00054
2,15.8995,3.67123,4.81035,1.58368,0.00318,0.01857,0.0017,0.0007,3.6183,4.04423,1.2906,0.00109637,0.00109637,0.00109637
3,20.9288,4.09554,5.04426,1.59644,0.01458,0.09284,0.01093,0.00426,2.91936,4.17173,1.15135,0.00164904,0.00164904,0.00164904
4,25.9464,3.80015,4.81808,1.57885,0.01458,0.09284,0.01093,0.00426,2.91936,4.17173,1.15135,0.0019802,0.0019802,0.0019802
5,31.022,3.93713,5.19424,1.60611,0.00917,0.05836,0.00514,0.00233,3.41323,4.07911,1.31512,0.0019736,0.0019736,0.0019736
6,35.9465,4.00283,5.08079,1.59616,0.00917,0.05836,0.00514,0.00233,3.41323,4.07911,1.31512,0.001967,0.001967,0.001967
7,40.9445,3.98666,5.03192,1.56631,0.01083,0.06897,0.00611,0.00218,3.61814,4.18222,1.38416,0.0019604,0.0019604,0.0019604
8,45.938,3.64062,4.70076,1.54988,0.01083,0.06897,0.00611,0.00218,3.61814,4.18222,1.38416,0.0019538,0.0019538,0.0019538
9,50.9075,3.89309,4.91102,1.595,0.00542,0.03448,0.00285,0.00134,3.75044,4.18958,1.4518,0.0019472,0.0019472,0.0019472
10,55.851,3.58822,4.74814,1.56617,0.00542,0.03448,0.00285,0.00134,3.75044,4.18958,1.4518,0.0019406,0.0019406,0.0019406
11,60.7569,3.52726,4.6266,1.56906,0.00542,0.03448,0.00285,0.00134,3.75044,4.18958,1.4518,0.001934,0.001934,0.001934
12,65.7722,4.23232,24.5845,1.50802,0.00042,0.00265,0.00021,6e-05,nan,nan,nan,0.0019274,0.0019274,0.0019274
13,71.0403,4.27651,30.2997,1.47674,0.00042,0.00265,0.00021,6e-05,nan,nan,nan,0.0019208,0.0019208,0.0019208
14,76.335,4.35376,38.2079,1.50031,0.01348,0.06897,0.00757,0.00128,4.32245,23.7757,1.3779,0.0019142,0.0019142,0.0019142
15,81.6147,4.33569,28.3038,1.41177,0.01348,0.06897,0.00757,0.00128,4.32245,23.7757,1.3779,0.0019076,0.0019076,0.0019076
16,86.9142,4.35628,30.7996,1.44173,0.01348,0.06897,0.00757,0.00128,nan,nan,nan,0.001901,0.001901,0.001901
17,92.1637,4.31475,32.552,1.59823,0.01348,0.06897,0.00757,0.00128,nan,nan,nan,0.0018944,0.0018944,0.0018944
18,97.457,4.59913,47.8325,1.67391,0.01348,0.06897,0.00757,0.00128,nan,nan,nan,0.0018878,0.0018878,0.0018878
19,102.806,4.37684,33.9835,1.62303,0.00169,0.00531,0.00083,8e-05,4.19533,19.8901,1.40006,0.0018812,0.0018812,0.0018812
20,108.307,4.53604,38.5217,1.67262,0.00169,0.00531,0.00083,8e-05,4.19533,19.8901,1.40006,0.0018746,0.0018746,0.0018746
21,113.636,4.44127,18.8631,1.5228,0.00169,0.00531,0.00083,8e-05,nan,nan,nan,0.001868,0.001868,0.001868
22,118.902,3.98474,11.5833,1.47311,0.00169,0.00531,0.00083,8e-05,nan,nan,nan,0.0018614,0.0018614,0.0018614
23,124.159,3.85319,7.23016,1.45827,0.00169,0.00531,0.00083,8e-05,nan,nan,nan,0.0018548,0.0018548,0.0018548
24,129.414,4.3862,3.12264,1.57113,0.00169,0.00531,0.00083,8e-05,nan,nan,nan,0.0018482,0.0018482,0.0018482
