epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.78395,2.01912,6.00091,1.41529,0,0,0,0,1.39691,5.27573,1.05232,0.00028,0.00028,0.00028
2,11.277,2.27453,6.19527,1.44951,0,0,0,0,1.39691,5.27573,1.05232,0.000568119,0.000568119,0.000568119
3,14.9146,2.27498,6.24742,1.47573,0,0,0,0,1.45279,5.78098,1.16764,0.000854324,0.000854324,0.000854324
4,18.553,2.03641,5.98075,1.42128,0,0,0,0,1.45279,5.78098,1.16764,0.0009901,0.0009901,0.0009901
5,22.2155,2.2418,6.96746,1.45785,0,0,0,0,1.51037,6.16387,1.19964,0.0009868,0.0009868,0.0009868
6,25.9343,2.34791,6.50439,1.44867,0,0,0,0,1.51037,6.16387,1.19964,0.0009835,0.0009835,0.0009835
7,29.8503,2.23978,6.08213,1.42394,0,0,0,0,1.51651,6.37646,1.208,0.0009802,0.0009802,0.0009802
8,33.6121,2.02707,6.74397,1.46298,0,0,0,0,1.51651,6.37646,1.208,0.0009769,0.0009769,0.0009769
9,37.3103,2.26742,6.53421,1.44772,0,0,0,0,1.50951,6.13001,1.18379,0.0009736,0.0009736,0.0009736
10,40.9898,2.17088,5.93725,1.46085,0,0,0,0,1.50951,6.13001,1.18379,0.0009703,0.0009703,0.0009703
11,45.0006,1.94523,5.65901,1.42332,0,0,0,0,1.4446,6.25833,1.15028,0.000967,0.000967,0.000967
12,48.8443,2.13099,5.97995,1.40617,0,0,0,0,1.4446,6.25833,1.15028,0.0009637,0.0009637,0.0009637
13,52.6115,2.05679,5.87522,1.40256,0,0,0,0,1.4446,6.25833,1.15028,0.0009604,0.0009604,0.0009604
14,56.5985,2.82622,6.44544,1.58512,0.15883,0.61949,0.18058,0.06762,2.11455,inf,1.57665,0.0009571,0.0009571,0.0009571
15,60.9665,2.71366,5.22615,1.54362,0.15883,0.61949,0.18058,0.06762,2.11455,inf,1.57665,0.0009538,0.0009538,0.0009538
16,65.4434,2.57024,14.7384,1.42604,0.00705,0.00232,0.00226,0.00023,3.37597,inf,2.88072,0.0009505,0.0009505,0.0009505
17,69.6369,2.45691,72.051,1.40138,0.00705,0.00232,0.00226,0.00023,3.37597,inf,2.88072,0.0009472,0.0009472,0.0009472
18,73.6944,2.58886,21.611,1.46272,0.00663,0.00928,0.00336,0.00093,2.32396,5.3493,1.28154,0.0009439,0.0009439,0.0009439
19,77.7407,2.77733,22.0274,1.53006,0.00663,0.00928,0.00336,0.00093,2.32396,5.3493,1.28154,0.0009406,0.0009406,0.0009406
20,81.8002,2.60448,15.0666,1.38826,0.00559,0.00464,0.00262,0.00092,2.30504,5.08165,1.24423,0.0009373,0.0009373,0.0009373
21,85.8101,2.6082,24.3439,1.40366,0.00559,0.00464,0.00262,0.00092,2.30504,5.08165,1.24423,0.000934,0.000934,0.000934
22,89.7349,2.44995,16.564,1.36825,0.01036,0.03712,0.00627,0.00276,nan,nan,nan,0.0009307,0.0009307,0.0009307
23,93.627,2.37258,6.30347,1.35843,0.01036,0.03712,0.00627,0.00276,nan,nan,nan,0.0009274,0.0009274,0.0009274
24,97.5399,2.36592,6.68931,1.38941,0.01036,0.03712,0.00627,0.00276,nan,nan,nan,0.0009241,0.0009241,0.0009241
25,101.388,2.11275,4.12642,1.27575,0.01103,0.05336,0.00584,0.00209,nan,nan,nan,0.0009208,0.0009208,0.0009208
26,105.209,1.92598,6.57275,1.28093,0.01103,0.05336,0.00584,0.00209,nan,nan,nan,0.0009175,0.0009175,0.0009175
27,109.01,1.58367,2.84358,1.18031,0.33333,0.06961,0.18895,0.09393,2.57816,inf,2.75198,0.0009142,0.0009142,0.0009142
28,113.111,1.81244,3.90989,1.57986,0.33333,0.06961,0.18895,0.09393,2.57816,inf,2.75198,0.0009109,0.0009109,0.0009109
29,117.333,1.79901,3.32885,1.21959,0.33333,0.06961,0.18895,0.09393,2.89241,inf,5.1231,0.0009076,0.0009076,0.0009076
30,121.601,1.68436,3.48932,1.1577,0.33333,0.06961,0.18895,0.09393,2.89241,inf,5.1231,0.0009043,0.0009043,0.0009043
31,125.7,1.74878,3.15308,1.18795,0.60965,0.35035,0.38483,0.1486,2.74607,4.09537,2.44712,0.000901,0.000901,0.000901
32,129.627,2.06992,2.36389,1.38219,0.60965,0.35035,0.38483,0.1486,2.74607,4.09537,2.44712,0.0008977,0.0008977,0.0008977
33,133.721,2.26847,2.37177,1.37562,0.4585,0.45244,0.41569,0.1634,1.88233,3.0518,1.45333,0.0008944,0.0008944,0.0008944
34,137.752,1.57226,2.1152,1.19053,0.4585,0.45244,0.41569,0.1634,1.88233,3.0518,1.45333,0.0008911,0.0008911,0.0008911
35,141.947,1.64267,1.7375,1.18977,0.4585,0.45244,0.41569,0.1634,1.88233,3.0518,1.45333,0.0008878,0.0008878,0.0008878
36,146.069,1.42467,1.49202,1.10678,0.83153,0.48098,0.54649,0.25059,1.86767,inf,1.85912,0.0008845,0.0008845,0.0008845
