epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.86572,2.27257,9.56724,1.40181,0.04,0.00246,0.02014,0.01813,1.53088,4.48479,1.01766,0.00028,0.00028,0.00028
2,11.6072,2.4664,6.62605,1.42901,0.04,0.00246,0.02014,0.01813,1.53088,4.48479,1.01766,0.000568119,0.000568119,0.000568119
3,15.3921,2.50463,6.81284,1.44644,0.04,0.00246,0.02014,0.01813,1.70249,5.38209,1.16152,0.000854324,0.000854324,0.000854324
4,19.13,2.1486,6.41319,1.35907,0.04,0.00246,0.02014,0.01813,1.70249,5.38209,1.16152,0.0009901,0.0009901,0.0009901
5,22.8749,2.35449,8.94744,1.40714,0.04,0.00246,0.02014,0.01813,1.65528,5.72946,1.17178,0.0009868,0.0009868,0.0009868
6,26.7392,2.35195,6.79096,1.37634,0.04,0.00246,0.02014,0.01813,1.65528,5.72946,1.17178,0.0009835,0.0009835,0.0009835
7,30.6223,2.56867,7.09389,1.46623,0.04,0.00246,0.02014,0.01813,1.73083,6.01439,1.20011,0.0009802,0.0009802,0.0009802
8,34.5569,2.32366,10.9004,1.46873,0.04,0.00246,0.02014,0.01813,1.73083,6.01439,1.20011,0.0009769,0.0009769,0.0009769
9,38.2616,2.56685,7.4459,1.46302,0.04,0.00246,0.02014,0.01813,1.63789,5.83555,1.14867,0.0009736,0.0009736,0.0009736
10,41.9937,2.28301,6.14986,1.39873,0.04,0.00246,0.02014,0.01813,1.63789,5.83555,1.14867,0.0009703,0.0009703,0.0009703
11,45.8366,2.22561,5.98221,1.43532,0.01339,0.00246,0.00387,0.00387,1.62923,5.82062,1.14103,0.000967,0.000967,0.000967
12,49.4654,2.36386,6.37094,1.41755,0.01339,0.00246,0.00387,0.00387,1.62923,5.82062,1.14103,0.0009637,0.0009637,0.0009637
13,53.132,2.24096,6.06115,1.37955,0.01339,0.00246,0.00387,0.00387,1.62923,5.82062,1.14103,0.0009604,0.0009604,0.0009604
14,56.7261,2.45634,6.43622,1.41384,0.01339,0.00246,0.00387,0.00387,1.60087,5.69062,1.13657,0.0009571,0.0009571,0.0009571
15,60.2646,2.43823,6.44866,1.41096,0.01339,0.00246,0.00387,0.00387,1.60087,5.69062,1.13657,0.0009538,0.0009538,0.0009538
16,63.8864,2.41395,25.4576,1.43394,0.03,0.17734,0.01814,0.00503,2.8939,inf,1.60362,0.0009505,0.0009505,0.0009505
17,67.8808,2.2829,182.134,1.38463,0.03,0.17734,0.01814,0.00503,2.8939,inf,1.60362,0.0009472,0.0009472,0.0009472
18,71.8858,2.47972,52.1086,1.56514,0.03561,0.2069,0.02156,0.0077,2.13739,28.9895,1.34521,0.0009439,0.0009439,0.0009439
19,75.8693,2.41236,71.0673,1.43456,0.03561,0.2069,0.02156,0.0077,2.13739,28.9895,1.34521,0.0009406,0.0009406,0.0009406
20,79.8476,2.28922,16.4747,1.34287,0.0325,0.19212,0.01949,0.00699,2.09355,15.5557,1.31552,0.0009373,0.0009373,0.0009373
21,83.8045,2.48896,53.0098,1.4709,0.0325,0.19212,0.01949,0.00699,2.09355,15.5557,1.31552,0.000934,0.000934,0.000934
22,87.5694,2.33444,18.9314,1.39174,0.0325,0.19212,0.01949,0.00699,nan,nan,nan,0.0009307,0.0009307,0.0009307
23,91.3156,3.28291,31.3362,1.61301,0.0325,0.19212,0.01949,0.00699,nan,nan,nan,0.0009274,0.0009274,0.0009274
24,95.0365,3.20531,28.3324,1.60287,0.0325,0.19212,0.01949,0.00699,nan,nan,nan,0.0009241,0.0009241,0.0009241
25,98.7332,3.3729,13.7284,1.80228,0.0325,0.19212,0.01949,0.00699,nan,nan,nan,0.0009208,0.0009208,0.0009208
26,102.38,3.04671,10.7077,1.76907,0.0325,0.19212,0.01949,0.00699,nan,nan,nan,0.0009175,0.0009175,0.0009175
27,106.109,2.67353,4.66141,1.55587,0.0325,0.19212,0.01949,0.00699,nan,nan,nan,0.0009142,0.0009142,0.0009142
28,109.816,2.84818,5.53565,1.5328,0.0325,0.19212,0.01949,0.00699,nan,nan,nan,0.0009109,0.0009109,0.0009109
29,113.591,2.74064,7.23406,1.42428,0.0325,0.19212,0.01949,0.00699,nan,nan,nan,0.0009076,0.0009076,0.0009076
30,117.348,2.58229,5.19928,1.44343,0.0325,0.19212,0.01949,0.00699,nan,nan,nan,0.0009043,0.0009043,0.0009043
31,121.139,2.38818,4.69789,1.36947,0.01732,0.07635,0.00953,0.00337,2.0401,18.529,1.41113,0.000901,0.000901,0.000901
32,124.875,2.23959,3.63588,1.32155,0.01732,0.07635,0.00953,0.00337,2.0401,18.529,1.41113,0.0008977,0.0008977,0.0008977
33,128.671,2.44993,3.54734,1.34858,0.18121,0.2931,0.13517,0.06901,1.86547,6.82249,1.25222,0.0008944,0.0008944,0.0008944
34,132.641,1.92505,4.49647,1.27439,0.18121,0.2931,0.13517,0.06901,1.86547,6.82249,1.25222,0.0008911,0.0008911,0.0008911
35,136.681,1.97587,3.10761,1.2563,0.18121,0.2931,0.13517,0.06901,1.86547,6.82249,1.25222,0.0008878,0.0008878,0.0008878
36,140.544,1.95532,3.21254,1.26563,0.08792,0.44828,0.11226,0.0566,1.80555,5.77423,1.28087,0.0008845,0.0008845,0.0008845
37,144.24,1.93006,2.94156,1.26569,0.08792,0.44828,0.11226,0.0566,1.80555,5.77423,1.28087,0.0008812,0.0008812,0.0008812
38,147.964,1.84633,3.19693,1.18339,0.4521,0.54875,0.4642,0.20312,1.67023,2.05469,1.12612,0.0008779,0.0008779,0.0008779
39,151.934,1.69814,2.27796,1.05984,0.4521,0.54875,0.4642,0.20312,1.67023,2.05469,1.12612,0.0008746,0.0008746,0.0008746
40,155.796,1.65756,2.28371,1.08299,0.52256,0.57882,0.52943,0.25466,1.66748,1.89592,1.11601,0.0008713,0.0008713,0.0008713
41,159.597,1.606,3.52445,1.10242,0.52256,0.57882,0.52943,0.25466,1.66748,1.89592,1.11601,0.000868,0.000868,0.000868
42,163.541,1.62552,2.21358,1.10062,0.24805,0.80542,0.58288,0.32545,1.50535,28.8799,1.0882,0.0008647,0.0008647,0.0008647
43,167.46,1.48908,2.66076,1.05743,0.24805,0.80542,0.58288,0.32545,1.50535,28.8799,1.0882,0.0008614,0.0008614,0.0008614
44,171.274,1.46024,2.53099,1.05731,0.55264,0.67241,0.63925,0.42706,1.26297,1.62906,1.01212,0.0008581,0.0008581,0.0008581
45,175.101,1.40144,1.91791,1.00642,0.55264,0.67241,0.63925,0.42706,1.26297,1.62906,1.01212,0.0008548,0.0008548,0.0008548
46,178.877,1.41563,2.0202,1.0334,0.55264,0.67241,0.63925,0.42706,1.26297,1.62906,1.01212,0.0008515,0.0008515,0.0008515
47,182.829,1.29303,1.71684,0.99131,0.48,0.78571,0.50304,0.34799,1.22475,2.64013,0.98766,0.0008482,0.0008482,0.0008482
48,186.441,1.23763,1.70253,0.97598,0.48,0.78571,0.50304,0.34799,1.22475,2.64013,0.98766,0.0008449,0.0008449,0.0008449
49,190.094,1.31725,1.64713,0.99808,0.5199,0.84975,0.5733,0.41458,1.08243,2.64214,0.95656,0.0008416,0.0008416,0.0008416
50,193.725,1.21839,1.49508,0.95497,0.5199,0.84975,0.5733,0.41458,1.08243,2.64214,0.95656,0.0008383,0.0008383,0.0008383
51,197.394,1.19868,1.7018,0.9695,0.7075,0.76108,0.75184,0.54295,1.07398,1.262,0.95878,0.000835,0.000835,0.000835
52,201.294,1.19482,1.88319,1.05205,0.7075,0.76108,0.75184,0.54295,1.07398,1.262,0.95878,0.0008317,0.0008317,0.0008317
53,205.216,1.17088,1.53149,0.92134,0.73742,0.68227,0.74122,0.50698,1.12095,1.59656,0.971,0.0008284,0.0008284,0.0008284
54,208.873,1.19168,1.33706,0.92025,0.73742,0.68227,0.74122,0.50698,1.12095,1.59656,0.971,0.0008251,0.0008251,0.0008251
55,212.508,1.13906,1.37454,0.93246,0.73742,0.68227,0.74122,0.50698,1.12095,1.59656,0.971,0.0008218,0.0008218,0.0008218
56,216.172,1.14958,1.43484,0.96802,0.78628,0.74306,0.79632,0.57898,1.00844,1.20676,0.93393,0.0008185,0.0008185,0.0008185
57,220.139,1.11532,1.35359,0.95377,0.78628,0.74306,0.79632,0.57898,1.00844,1.20676,0.93393,0.0008152,0.0008152,0.0008152
58,224.124,1.12458,1.12825,0.93258,0.81778,0.78571,0.84527,0.6068,1.02753,1.08474,0.94238,0.0008119,0.0008119,0.0008119
