epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.74306,2.26127,5.74797,1.50013,0,0,0,0,1.6321,5.24812,1.12146,0.00028,0.00028,0.00028
2,11.8587,2.3255,5.9487,1.46286,0,0,0,0,1.6321,5.24812,1.12146,0.000568119,0.000568119,0.000568119
3,15.7383,2.2938,5.78655,1.43194,0,0,0,0,1.57742,5.34847,1.20597,0.000854324,0.000854324,0.000854324
4,19.4572,2.14447,5.79483,1.43488,0,0,0,0,1.57742,5.34847,1.20597,0.0009901,0.0009901,0.0009901
5,23.1321,2.19989,6.15833,1.40464,0,0,0,0,1.62638,5.57491,1.2546,0.0009868,0.0009868,0.0009868
6,26.7877,2.30292,6.21539,1.45723,0,0,0,0,1.62638,5.57491,1.2546,0.0009835,0.0009835,0.0009835
7,30.5008,2.39379,6.95961,1.45851,0,0,0,0,1.73295,5.7779,1.30463,0.0009802,0.0009802,0.0009802
8,34.2198,2.23942,6.55441,1.51392,0,0,0,0,1.73295,5.7779,1.30463,0.0009769,0.0009769,0.0009769
9,38.0359,2.37162,5.96585,1.47479,0.0489,0.00373,0.01541,0.00925,1.61755,5.44809,1.243,0.0009736,0.0009736,0.0009736
10,41.6943,2.23761,5.56178,1.47621,0.0489,0.00373,0.01541,0.00925,1.61755,5.44809,1.243,0.0009703,0.0009703,0.0009703
11,45.3685,2.23444,5.64848,1.51169,0.0303,0.00373,0.01521,0.00456,1.60494,5.53839,1.23308,0.000967,0.000967,0.000967
12,48.9409,2.25719,5.60611,1.44765,0.0303,0.00373,0.01521,0.00456,1.60494,5.53839,1.23308,0.0009637,0.0009637,0.0009637
13,52.5368,2.31055,5.66446,1.51706,0.0303,0.00373,0.01521,0.00456,1.60494,5.53839,1.23308,0.0009604,0.0009604,0.0009604
14,56.0481,2.80414,24.3315,1.5473,0.0934,0.3694,0.07542,0.03205,2.121,45.8709,1.39458,0.0009571,0.0009571,0.0009571
15,60.2322,2.98701,26.0332,1.62132,0.0934,0.3694,0.07542,0.03205,2.121,45.8709,1.39458,0.0009538,0.0009538,0.0009538
16,64.2369,3.65424,22.6918,1.8894,0.0934,0.3694,0.07542,0.03205,4.48506,440.13,2.40366,0.0009505,0.0009505,0.0009505
17,68.1716,3.53192,21.5781,1.86961,0.0934,0.3694,0.07542,0.03205,4.48506,440.13,2.40366,0.0009472,0.0009472,0.0009472
18,72.266,3.85332,15.0239,1.95342,0.0934,0.3694,0.07542,0.03205,4.03533,8.93864,1.88351,0.0009439,0.0009439,0.0009439
19,76.3186,3.98785,17.4773,2.0211,0.0934,0.3694,0.07542,0.03205,4.03533,8.93864,1.88351,0.0009406,0.0009406,0.0009406
20,80.4597,3.68324,11.5667,1.81455,0.0934,0.3694,0.07542,0.03205,nan,nan,nan,0.0009373,0.0009373,0.0009373
21,84.602,3.04952,15.5993,1.64127,0.0934,0.3694,0.07542,0.03205,nan,nan,nan,0.000934,0.000934,0.000934
22,88.6056,2.6238,11.8293,1.48244,0.00125,0.01119,0.00064,6e-05,nan,nan,nan,0.0009307,0.0009307,0.0009307
23,92.3438,2.62554,4.12449,1.56049,0.00125,0.01119,0.00064,6e-05,nan,nan,nan,0.0009274,0.0009274,0.0009274
24,96.1109,2.70451,4.6608,1.60942,0.00125,0.01119,0.00064,6e-05,nan,nan,nan,0.0009241,0.0009241,0.0009241
25,99.9086,2.6866,4.22613,1.57197,0.00125,0.01119,0.00064,6e-05,nan,nan,nan,0.0009208,0.0009208,0.0009208
26,103.667,2.57061,4.46313,1.66057,0.00125,0.01119,0.00064,6e-05,nan,nan,nan,0.0009175,0.0009175,0.0009175
27,107.446,2.57848,4.84396,1.6031,0.00125,0.01119,0.00064,6e-05,3.41463,inf,3.92351,0.0009142,0.0009142,0.0009142
28,111.171,2.81271,6.99085,1.68004,0.00125,0.01119,0.00064,6e-05,3.41463,inf,3.92351,0.0009109,0.0009109,0.0009109
29,115.091,2.96736,7.10442,1.72898,0.19867,0.25,0.16077,0.02873,3.1377,5.13614,1.93649,0.0009076,0.0009076,0.0009076
30,119.312,2.87593,5.01934,1.66532,0.19867,0.25,0.16077,0.02873,3.1377,5.13614,1.93649,0.0009043,0.0009043,0.0009043
31,123.489,2.69587,5.38763,1.63933,0.08219,0.04478,0.05278,0.00892,3.046,inf,2.29013,0.000901,0.000901,0.000901
32,127.319,2.60985,2.97734,1.53057,0.08219,0.04478,0.05278,0.00892,3.046,inf,2.29013,0.0008977,0.0008977,0.0008977
33,131.281,2.95598,2.90174,1.63708,0.07667,0.4291,0.12647,0.05499,1.92937,3.28656,1.3881,0.0008944,0.0008944,0.0008944
34,135.465,2.18018,3.84228,1.36451,0.07667,0.4291,0.12647,0.05499,1.92937,3.28656,1.3881,0.0008911,0.0008911,0.0008911
35,139.57,2.33109,2.72278,1.44805,0.07667,0.4291,0.12647,0.05499,1.92937,3.28656,1.3881,0.0008878,0.0008878,0.0008878
36,143.551,2.04725,2.77972,1.3449,0.05299,0.37687,0.10346,0.05532,1.63153,3.30645,1.33527,0.0008845,0.0008845,0.0008845
37,147.293,1.79617,2.48999,1.27032,0.05299,0.37687,0.10346,0.05532,1.63153,3.30645,1.33527,0.0008812,0.0008812,0.0008812
38,151.064,1.83515,2.27186,1.28819,0.30699,0.08582,0.06489,0.03347,1.8489,4.75149,1.44055,0.0008779,0.0008779,0.0008779
39,154.863,1.81765,1.78963,1.14855,0.30699,0.08582,0.06489,0.03347,1.8489,4.75149,1.44055,0.0008746,0.0008746,0.0008746
40,158.616,1.78752,1.7997,1.20591,0.67309,0.66045,0.74252,0.31799,1.92613,1.46282,1.30861,0.0008713,0.0008713,0.0008713
41,162.548,1.85576,1.6819,1.32658,0.67309,0.66045,0.74252,0.31799,1.92613,1.46282,1.30861,0.000868,0.000868,0.000868
42,166.602,1.77665,1.79047,1.23739,0.89889,0.82935,0.92819,0.47386,1.58846,1.24671,1.18566,0.0008647,0.0008647,0.0008647
43,170.609,1.53201,1.83096,1.1513,0.89889,0.82935,0.92819,0.47386,1.58846,1.24671,1.18566,0.0008614,0.0008614,0.0008614
44,174.433,1.53367,1.74891,1.16103,0.84235,0.89718,0.9348,0.48186,1.54234,1.05972,1.18697,0.0008581,0.0008581,0.0008581
45,178.304,1.45352,1.46183,1.07401,0.84235,0.89718,0.9348,0.48186,1.54234,1.05972,1.18697,0.0008548,0.0008548,0.0008548
46,182.41,1.48852,1.44416,1.08674,0.84235,0.89718,0.9348,0.48186,1.54234,1.05972,1.18697,0.0008515,0.0008515,0.0008515
47,186.573,1.46209,1.11664,1.07981,0.87608,0.92331,0.94841,0.58171,1.32339,0.88973,1.09629,0.0008482,0.0008482,0.0008482
48,190.66,1.43462,0.96093,1.05029,0.87608,0.92331,0.94841,0.58171,1.32339,0.88973,1.09629,0.0008449,0.0008449,0.0008449
49,194.757,1.5614,1.21546,1.08651,0.8776,0.75746,0.85212,0.49802,1.54981,1.19684,1.21502,0.0008416,0.0008416,0.0008416
50,198.517,1.53843,1.1471,1.09337,0.8776,0.75746,0.85212,0.49802,1.54981,1.19684,1.21502,0.0008383,0.0008383,0.0008383
51,202.285,1.37415,1.02262,1.09351,0.8373,0.79478,0.86285,0.50982,1.42997,1.09696,1.15279,0.000835,0.000835,0.000835
52,206.015,1.34217,1.20185,1.14173,0.8373,0.79478,0.86285,0.50982,1.42997,1.09696,1.15279,0.0008317,0.0008317,0.0008317
53,209.786,1.28458,0.901,0.95905,0.91346,0.90672,0.95731,0.61113,1.34168,0.87996,1.12229,0.0008284,0.0008284,0.0008284
54,213.867,1.22755,0.98469,0.99381,0.91346,0.90672,0.95731,0.61113,1.34168,0.87996,1.12229,0.0008251,0.0008251,0.0008251
55,217.925,1.20643,0.94279,0.99245,0.91346,0.90672,0.95731,0.61113,1.34168,0.87996,1.12229,0.0008218,0.0008218,0.0008218
