epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.60643,1.66316,8.62688,1.29111,0,0,0,0,0.94775,4.00257,0.9784,0.00028,0.00028,0.00028
2,12.5854,1.75043,4.9091,1.29502,0,0,0,0,0.94775,4.00257,0.9784,0.000568119,0.000568119,0.000568119
3,16.8536,1.77688,5.1516,1.2925,0.01141,0.01172,0.00577,0.00385,1.20114,4.36298,1.06072,0.000854324,0.000854324,0.000854324
4,20.6942,1.62205,5.03955,1.28981,0.01141,0.01172,0.00577,0.00385,1.20114,4.36298,1.06072,0.0009901,0.0009901,0.0009901
5,24.5131,1.74774,5.97261,1.31968,0.01708,0.00781,0.00423,0.00198,1.22889,4.36738,1.07008,0.0009868,0.0009868,0.0009868
6,28.2796,1.7684,5.34745,1.29155,0.01708,0.00781,0.00423,0.00198,1.22889,4.36738,1.07008,0.0009835,0.0009835,0.0009835
7,32.0005,1.88303,5.43692,1.31543,0.02214,0.02344,0.01307,0.00844,1.2682,4.47158,1.09383,0.0009802,0.0009802,0.0009802
8,35.8058,1.70486,6.42996,1.36169,0.02214,0.02344,0.01307,0.00844,1.2682,4.47158,1.09383,0.0009769,0.0009769,0.0009769
9,39.6708,1.83357,5.79416,1.28359,0.01469,0.01562,0.00715,0.005,1.21802,4.41255,1.06368,0.0009736,0.0009736,0.0009736
10,43.3553,1.70234,5.06585,1.32304,0.01469,0.01562,0.00715,0.005,1.21802,4.41255,1.06368,0.0009703,0.0009703,0.0009703
11,47.0603,1.6512,4.82627,1.31938,0.13827,0.03906,0.04585,0.03656,1.13812,4.43477,1.03058,0.000967,0.000967,0.000967
12,50.881,1.69019,4.99684,1.29091,0.13827,0.03906,0.04585,0.03656,1.13812,4.43477,1.03058,0.0009637,0.0009637,0.0009637
13,54.7524,1.67404,5.05769,1.30159,0.13827,0.03906,0.04585,0.03656,1.13812,4.43477,1.03058,0.0009604,0.0009604,0.0009604
14,58.6182,2.79463,70.4336,1.68831,0.02375,0.22266,0.01489,0.00502,2.75621,inf,1.87472,0.0009571,0.0009571,0.0009571
15,62.8388,2.62907,49.074,1.49985,0.02375,0.22266,0.01489,0.00502,2.75621,inf,1.87472,0.0009538,0.0009538,0.0009538
16,67.0029,2.68887,80.497,1.65894,0.07473,0.48047,0.07783,0.01962,2.46053,inf,1.56117,0.0009505,0.0009505,0.0009505
17,71.176,2.6947,449.62,1.72931,0.07473,0.48047,0.07783,0.01962,2.46053,inf,1.56117,0.0009472,0.0009472,0.0009472
18,75.4411,2.92133,101.665,1.87482,0.08865,0.48828,0.08869,0.01947,2.59253,75.9052,1.6439,0.0009439,0.0009439,0.0009439
19,79.6217,2.77744,228.827,1.70941,0.08865,0.48828,0.08869,0.01947,2.59253,75.9052,1.6439,0.0009406,0.0009406,0.0009406
20,83.8261,2.68398,49.2936,1.69346,0.11306,0.50391,0.0784,0.01866,2.53458,56.3123,1.58892,0.0009373,0.0009373,0.0009373
21,87.9716,2.81721,106.417,1.79198,0.11306,0.50391,0.0784,0.01866,2.53458,56.3123,1.58892,0.000934,0.000934,0.000934
