epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.68907,1.50063,11.8819,1.07319,0,0,0,0,0.94794,4.88344,0.9149,0.00028,0.00028,0.00028
2,12.3878,1.52911,8.54058,1.0964,0,0,0,0,0.94794,4.88344,0.9149,0.000568119,0.000568119,0.000568119
3,16.2679,1.54491,7.97898,1.06922,0.07792,0.03947,0.04269,0.03255,1.02776,5.43517,0.97536,0.000854324,0.000854324,0.000854324
4,19.9704,1.44683,8.27691,1.07257,0.07792,0.03947,0.04269,0.03255,1.02776,5.43517,0.97536,0.0009901,0.0009901,0.0009901
5,23.6956,1.5025,13.3564,1.05211,0.04464,0.03289,0.02719,0.01903,1.11009,6.71553,1.01724,0.0009868,0.0009868,0.0009868
6,27.3548,1.5576,8.55936,1.0779,0.04464,0.03289,0.02719,0.01903,1.11009,6.71553,1.01724,0.0009835,0.0009835,0.0009835
7,30.9878,1.48164,13.2446,1.04292,0.03409,0.01974,0.01779,0.01189,1.11131,7.41605,1.01536,0.0009802,0.0009802,0.0009802
8,34.6036,1.38557,8.53583,1.089,0.03409,0.01974,0.01779,0.01189,1.11131,7.41605,1.01536,0.0009769,0.0009769,0.0009769
9,38.2822,1.53332,13.2302,1.02739,0.07031,0.05921,0.04091,0.02726,1.10335,6.81638,0.99885,0.0009736,0.0009736,0.0009736
10,41.9122,1.46041,7.81371,1.11323,0.07031,0.05921,0.04091,0.02726,1.10335,6.81638,0.99885,0.0009703,0.0009703,0.0009703
11,45.6316,1.42948,6.95438,1.09803,0.11304,0.08553,0.06472,0.04176,1.0605,7.08892,0.96349,0.000967,0.000967,0.000967
12,49.4497,1.42676,8.08784,1.05777,0.11304,0.08553,0.06472,0.04176,1.0605,7.08892,0.96349,0.0009637,0.0009637,0.0009637
13,53.29,1.46721,8.4216,1.08072,0.11304,0.08553,0.06472,0.04176,1.0605,7.08892,0.96349,0.0009604,0.0009604,0.0009604
14,57.039,1.5323,9.04296,1.06025,0.08219,0.07895,0.04964,0.03257,1.02086,6.80576,0.97214,0.0009571,0.0009571,0.0009571
15,60.751,1.61076,7.67179,1.07831,0.08219,0.07895,0.04964,0.03257,1.02086,6.80576,0.97214,0.0009538,0.0009538,0.0009538
16,64.5554,2.22824,117.69,1.4712,0.02146,0.32895,0.02241,0.0079,2.32068,inf,1.51666,0.0009505,0.0009505,0.0009505
17,68.7012,2.49084,306.37,1.60648,0.02146,0.32895,0.02241,0.0079,2.32068,inf,1.51666,0.0009472,0.0009472,0.0009472
18,72.886,2.60113,229.679,1.69463,0.02763,0.42105,0.02027,0.0075,2.16611,71.6039,1.53424,0.0009439,0.0009439,0.0009439
19,77.0397,2.70184,207.765,1.69605,0.02763,0.42105,0.02027,0.0075,2.16611,71.6039,1.53424,0.0009406,0.0009406,0.0009406
20,81.1967,2.69225,78.024,1.63322,0.02612,0.375,0.01806,0.00673,2.24746,40.1971,1.53853,0.0009373,0.0009373,0.0009373
21,85.3999,2.86036,157.9,1.78822,0.02612,0.375,0.01806,0.00673,2.24746,40.1971,1.53853,0.000934,0.000934,0.000934
22,89.6463,2.5046,82.8168,1.63372,0.02759,0.38158,0.01847,0.00671,2.28219,36.1972,1.56316,0.0009307,0.0009307,0.0009307
23,93.8696,2.7736,147.237,1.6954,0.02759,0.38158,0.01847,0.00671,2.28219,36.1972,1.56316,0.0009274,0.0009274,0.0009274
24,98.0774,2.69933,140.185,1.74653,0.02759,0.38158,0.01847,0.00671,2.28219,36.1972,1.56316,0.0009241,0.0009241,0.0009241
25,101.95,3.71963,117.215,1.91081,0.02759,0.38158,0.01847,0.00671,4.66982,inf,2.08945,0.0009208,0.0009208,0.0009208
26,105.791,3.69499,100.678,1.8688,0.02759,0.38158,0.01847,0.00671,4.66982,inf,2.08945,0.0009175,0.0009175,0.0009175
