epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.45233,2.39676,5.81804,1.50834,0.03165,0.288,0.02312,0.01267,1.73573,4.08619,1.0679,0.00028,0.00028,0.00028
2,12.2303,2.5076,5.98811,1.45663,0.03165,0.288,0.02312,0.01267,1.73573,4.08619,1.0679,0.000568119,0.000568119,0.000568119
3,15.974,2.58458,6.26724,1.48906,0.01827,0.144,0.01048,0.00591,1.92896,5.30015,1.22673,0.000854324,0.000854324,0.000854324
4,19.7763,2.43433,6.15364,1.49669,0.01827,0.144,0.01048,0.00591,1.92896,5.30015,1.22673,0.0009901,0.0009901,0.0009901
5,23.5365,2.44452,6.87553,1.47021,0.007,0.044,0.00382,0.00159,1.82409,6.12521,1.22661,0.0009868,0.0009868,0.0009868
6,27.2707,2.57543,6.93257,1.47618,0.007,0.044,0.00382,0.00159,1.82409,6.12521,1.22661,0.0009835,0.0009835,0.0009835
7,31.0145,2.64203,9.58715,1.52832,0.00528,0.032,0.00229,0.00092,1.87971,6.46951,1.26916,0.0009802,0.0009802,0.0009802
8,34.7633,2.36539,11.0284,1.49906,0.00528,0.032,0.00229,0.00092,1.87971,6.46951,1.26916,0.0009769,0.0009769,0.0009769
9,38.4017,2.51507,7.15658,1.44611,0.01605,0.072,0.00758,0.00322,1.86199,5.97254,1.22509,0.0009736,0.0009736,0.0009736
10,42.1455,2.49136,6.37881,1.51285,0.01605,0.072,0.00758,0.00322,1.86199,5.97254,1.22509,0.0009703,0.0009703,0.0009703
11,45.9713,2.33268,5.71021,1.4897,0.01743,0.132,0.0101,0.00464,1.83502,5.93398,1.20324,0.000967,0.000967,0.000967
12,49.6568,2.44609,6.06216,1.47169,0.01743,0.132,0.0101,0.00464,1.83502,5.93398,1.20324,0.0009637,0.0009637,0.0009637
13,53.3672,2.40177,5.956,1.44984,0.01743,0.132,0.0101,0.00464,1.83502,5.93398,1.20324,0.0009604,0.0009604,0.0009604
14,57.3446,2.67083,16.5138,1.46515,0.01458,0.14,0.00928,0.00286,2.95423,inf,1.78038,0.0009571,0.0009571,0.0009571
15,61.6396,2.32144,15.5845,1.30902,0.01458,0.14,0.00928,0.00286,2.95423,inf,1.78038,0.0009538,0.0009538,0.0009538
16,65.5969,3.14041,17.9592,1.60888,0.01458,0.14,0.00928,0.00286,4.70142,200.9,2.35967,0.0009505,0.0009505,0.0009505
17,69.5717,3.35076,34.1388,1.81138,0.01458,0.14,0.00928,0.00286,4.70142,200.9,2.35967,0.0009472,0.0009472,0.0009472
18,73.7876,3.46663,20.0217,1.82077,0.00412,0.008,0.00114,0.00023,3.16279,16.1778,1.57512,0.0009439,0.0009439,0.0009439
19,77.8978,3.74245,16.5305,1.90554,0.00412,0.008,0.00114,0.00023,3.16279,16.1778,1.57512,0.0009406,0.0009406,0.0009406
20,81.9411,3.24047,10.5534,1.67276,0.00412,0.008,0.00114,0.00023,nan,nan,nan,0.0009373,0.0009373,0.0009373
21,85.7507,2.68939,10.1916,1.57567,0.00412,0.008,0.00114,0.00023,nan,nan,nan,0.000934,0.000934,0.000934
22,90.0016,2.31325,5.69346,1.49017,0.00412,0.008,0.00114,0.00023,nan,nan,nan,0.0009307,0.0009307,0.0009307
23,94.2912,2.4368,3.55629,1.45907,0.00412,0.008,0.00114,0.00023,nan,nan,nan,0.0009274,0.0009274,0.0009274
24,98.3993,2.32238,4.17994,1.49684,0.00412,0.008,0.00114,0.00023,nan,nan,nan,0.0009241,0.0009241,0.0009241
25,102.31,3.58335,4.72466,1.91092,0.00412,0.008,0.00114,0.00023,nan,nan,nan,0.0009208,0.0009208,0.0009208
26,106.143,3.71044,5.73055,1.96499,0.00412,0.008,0.00114,0.00023,nan,nan,nan,0.0009175,0.0009175,0.0009175
27,110.06,2.64845,3.55138,1.53706,0.11282,0.352,0.08491,0.03365,2.19554,5.84391,1.52147,0.0009142,0.0009142,0.0009142
28,114.232,2.49475,4.50765,1.39209,0.11282,0.352,0.08491,0.03365,2.19554,5.84391,1.52147,0.0009109,0.0009109,0.0009109
29,118.223,2.46655,3.22881,1.39938,0.11291,0.472,0.10812,0.05118,2.03707,3.23372,1.32616,0.0009076,0.0009076,0.0009076
30,122.285,2.15763,2.90453,1.28773,0.11291,0.472,0.10812,0.05118,2.03707,3.23372,1.32616,0.0009043,0.0009043,0.0009043
31,126.376,1.94176,2.84956,1.23989,0.04426,0.196,0.06261,0.03351,2.42891,5.36273,1.81894,0.000901,0.000901,0.000901
32,130.306,1.98561,3.24811,1.24502,0.04426,0.196,0.06261,0.03351,2.42891,5.36273,1.81894,0.0008977,0.0008977,0.0008977
33,134.316,2.04481,2.9335,1.19585,0.16525,0.23835,0.08976,0.05383,2.32569,4.82818,1.6792,0.0008944,0.0008944,0.0008944
34,138.526,1.53284,2.71807,1.12957,0.16525,0.23835,0.08976,0.05383,2.32569,4.82818,1.6792,0.0008911,0.0008911,0.0008911
35,142.547,1.61959,2.41288,1.13221,0.16525,0.23835,0.08976,0.05383,2.32569,4.82818,1.6792,0.0008878,0.0008878,0.0008878
36,146.639,1.72272,2.41241,1.16572,0.2791,0.40109,0.25934,0.09196,1.9529,2.20818,1.22275,0.0008845,0.0008845,0.0008845
